date,title,url,is_price_related,preprocessed_title,positive_sentiment,negative_sentiment,neutral_sentiment,rise_present,increase_present,jump_present,surge_present,climb_present,fall_present,drop_present,decrease_present,decline_present,plunge_present,weighted_positive_sentiment,weighted_negative_sentiment,predicted_price_direction
2025-03-31,For Five Coffee Roasters Opens a Big One For Atlanta,https://dailycoffeenews.com/2025/03/31/for-five-coffee-roasters-opens-a-big-one-for-atlanta/,True,five coffee roasters opens big one atlanta,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-28,Xanadu Coffee Closed ‘Until Further Notice’ as Founder Sentenced for Attempted Sex Trafficking,https://dailycoffeenews.com/2025/03/28/xanadu-coffee-closed-until-further-notice-as-founder-sentenced-for-attempted-sex-trafficking/,True,xanadu coffee closed notice founder sentenced attempted sex trafficking,0.0,0.121,0.879,0,0,0,0,0,0,0,0,0,0,0.0,0.121,neutral
2025-03-28,Weekly Coffee News: Caffeine and Tinnitus + Recall in 15 States,https://dailycoffeenews.com/2025/03/28/weekly-coffee-news-caffeine-and-tinnitus-recall-in-15-states/,True,weekly coffee news caffeine tinnitus recall 15 states,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-27,"Hutsul Coffee Factory Carries Ukrainian Quality to London, Ontario",https://dailycoffeenews.com/2025/03/27/hutsul-coffee-factory-carries-ukrainian-quality-to-london-ontario/,True,hutsul coffee factory carries ukrainian quality london ontario,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-25,Study Explores the ‘Arabica-Like’ Cup Qualities of the Stenophylla Coffee Species,https://dailycoffeenews.com/2025/03/25/study-explores-the-arabica-like-cup-qualities-of-the-stenophylla-coffee-species/,True,study explores arabicalike cup qualities stenophylla coffee species,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-24,New Jersey’s Fair Mountain Coffee Roasters Opens First Standalone Cafe,https://dailycoffeenews.com/2025/03/24/new-jerseys-fair-mountain-coffee-roasters-opens-first-standalone-cafe/,True,new jerseys fair mountain coffee roasters opens first standalone cafe,0.204,0.0,0.796,0,0,0,0,0,0,0,0,0,0,0.204,0.0,neutral
2025-03-21,"Weekly Coffee News: Webinars, Panels and Podcasts on Sourcing and Trade",https://dailycoffeenews.com/2025/03/21/weekly-coffee-news-webinars-panels-and-podcasts-on-sourcing-and-trade/,True,weekly coffee news webinars panels podcasts sourcing trade,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-20,"From Australia, Caffeine Control Coffee Brings Balance to the Boost",https://dailycoffeenews.com/2025/03/20/from-australia-caffeine-control-coffee-brings-balance-to-the-boost/,True,australia caffeine control coffee brings balance boost,0.31,0.0,0.69,0,0,0,0,0,0,0,0,0,0,0.31,0.0,neutral
2025-03-20,Here Are the Winners from the African Fine Coffees Association Competitions,https://dailycoffeenews.com/2025/03/20/here-are-the-winners-from-the-african-fine-coffees-association-competitions/,True,winners african fine coffees association competitions,0.551,0.0,0.449,0,0,0,0,0,0,0,0,0,0,0.551,0.0,rise
2025-03-19,Design Details: The Subjective Shape of Flavor with WeBe Coffee,https://dailycoffeenews.com/2025/03/19/design-details-the-subjective-shape-of-flavor-with-webe-coffee/,True,design details subjective shape flavor webe coffee,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-19,"FAO Report Cites Climate as Driver of Price Volatility, Calls for Transparency",https://dailycoffeenews.com/2025/03/19/fao-report-cites-climate-as-driver-of-price-volatility-calls-for-transparency/,True,fao report cites climate driver price volatility calls transparency,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-19,West Lou Coffee is Brewing a Future For Louisville’s West End,https://dailycoffeenews.com/2025/03/19/west-lou-coffee-is-brewing-a-future-for-louisvilles-west-end/,True,west lou coffee brewing future louisvilles west end,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-18,Rainforest Alliance Reduces Requirements in Latest Standard Revision,https://dailycoffeenews.com/2025/03/18/rainforest-alliance-reduces-requirements-in-latest-standard-revision/,True,rainforest alliance reduces requirements latest standard revision,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,rise
2025-03-18,"With No Arabica or Robusta, the Excelsa Cafe Opens in San Diego",https://dailycoffeenews.com/2025/03/18/with-no-arabica-or-robusta-the-excelsa-cafe-opens-in-san-diego/,True,arabica robusta excelsa cafe opens san diego,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-18,Caravela Coffee Expands with Dry Mills in Guatemala and Mexico,https://dailycoffeenews.com/2025/03/18/caravela-coffee-expands-with-dry-mills-in-guatemala-and-mexico/,True,caravela coffee expands dry mills guatemala mexico,0.189,0.0,0.811,0,0,0,0,0,0,0,0,0,0,0.189,0.0,neutral
2025-03-17,Coffee Science Foundation Leading More Defects Research with UC Davis,https://dailycoffeenews.com/2025/03/17/coffee-science-foundation-leading-more-defects-research-with-uc-davis/,True,coffee science foundation leading defects research uc davis,0.0,0.278,0.722,0,0,0,0,0,0,0,0,0,0,0.0,0.278,neutral
2025-03-17,Vertically Integrated Hub Coffee Rolls Into Its Biggest Cafe in Reno,https://dailycoffeenews.com/2025/03/17/vertically-integrated-hub-coffee-rolls-into-its-biggest-cafe-in-reno/,True,vertically integrated hub coffee rolls biggest cafe reno,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-14,Former VP of HR at Gregorys Coffee Accuses Company and Founder/CEO of Discrimination,https://dailycoffeenews.com/2025/03/14/former-vp-of-hr-at-gregorys-coffee-accuses-company-and-founder-ceo-of-discrimination/,True,former vp hr gregorys coffee accuses company founderceo discrimination,0.0,0.231,0.769,0,0,0,0,0,0,0,0,0,0,0.0,0.231,neutral
2025-03-14,Weekly Coffee News: Coffee Theft Rising + New Social Brewing App,https://dailycoffeenews.com/2025/03/14/weekly-coffee-news-coffee-theft-rising-new-social-brewing-app/,True,weekly coffee news coffee theft rising new social brewing app,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-13,Trust Coffee Co. Bonds Cafe with Cocktails Outside of Cleveland,https://dailycoffeenews.com/2025/03/13/trust-coffee-co-bonds-cafe-with-cocktails-outside-of-cleveland/,True,trust coffee co bonds cafe cocktails outside cleveland,0.32,0.0,0.68,0,0,0,0,0,0,0,0,0,0,0.32,0.0,neutral
